VendorID,lpep_pickup_datetime,lpep_dropoff_datetime,store_and_fwd_flag,RatecodeID,PULocationID,DOLocationID,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,ehail_fee,improvement_surcharge,total_amount,payment_type,trip_type,congestion_surcharge
2,2008-12-31 12:10:27,2008-12-31 12:26:27,N,1.0,95,130,1.0,2.5,13.0,0.0,0.5,0.0,0.0,,0.3,13.8,2.0,1.0,
2,2010-09-23 01:01:31,2010-09-23 19:06:14,N,1.0,241,153,1.0,1.55,9.5,1.0,0.5,0.0,0.0,,0.3,11.3,1.0,1.0,
2,2008-12-31 23:23:20,2008-12-31 23:33:14,N,1.0,223,223,1.0,2.17,9.5,0.0,0.5,0.0,0.0,,0.3,10.3,2.0,1.0,
2,2008-12-31 23:49:25,2008-12-31 23:59:11,N,1.0,7,146,1.0,1.07,7.0,0.0,0.5,0.0,0.0,,0.3,7.8,2.0,1.0,
2,2009-01-01 00:38:30,2009-01-01 00:44:44,N,1.0,223,7,1.0,0.95,6.0,0.0,0.5,0.0,0.0,,0.3,6.8,2.0,1.0,
2,2009-01-01 00:55:57,2009-01-01 01:03:51,N,1.0,7,7,1.0,1.13,6.5,0.0,0.5,0.0,0.0,,0.3,7.3,2.0,1.0,
2,2009-01-01 01:42:58,2009-01-01 01:50:33,N,1.0,7,179,1.0,0.88,6.5,0.0,0.5,0.0,0.0,,0.3,7.3,2.0,1.0,
2,2009-01-01 00:14:24,2009-01-01 00:30:41,N,1.0,42,238,1.0,2.55,12.5,0.0,0.5,0.0,0.0,,0.3,13.3,2.0,1.0,
2,2008-12-31 23:30:59,2008-12-31 23:42:31,N,1.0,181,190,1.0,2.1,10.0,0.5,0.5,2.26,0.0,,0.3,13.56,1.0,1.0,
2,2008-12-31 23:56:06,2009-01-01 00:00:37,N,1.0,181,257,1.0,0.77,5.0,0.5,0.5,0.0,0.0,,0.3,6.3,2.0,1.0,
2,2009-01-01 00:18:22,2009-01-01 00:30:43,N,1.0,181,190,1.0,2.24,9.5,0.5,0.5,0.0,0.0,,0.3,10.8,2.0,1.0,
2,2009-01-01 01:41:47,2009-01-01 02:24:53,N,1.0,181,50,1.0,8.26,29.5,0.5,0.5,0.0,0.0,,0.3,30.8,2.0,1.0,
2,2009-01-01 03:05:46,2009-01-01 03:12:53,N,1.0,181,25,1.0,1.42,7.0,0.5,0.5,0.0,0.0,,0.3,8.3,2.0,1.0,
2,2009-01-01 03:19:01,2009-01-01 03:37:54,N,1.0,181,72,1.0,4.22,16.5,0.5,0.5,0.0,0.0,,0.3,17.8,2.0,1.0,
2,2009-01-01 03:53:53,2009-01-01 04:01:40,N,1.0,71,85,1.0,1.1,6.5,0.5,0.5,0.0,0.0,,0.3,7.8,2.0,1.0,
2,2008-12-31 23:03:00,2008-12-31 23:08:19,N,1.0,41,42,1.0,0.94,5.5,0.5,0.5,0.0,0.0,,0.3,6.8,2.0,1.0,
2,2009-01-01 17:59:30,2009-01-01 18:09:48,N,1.0,260,226,5.0,1.11,6.0,1.0,0.5,0.0,0.0,,0.3,7.8,2.0,1.0,
2,2008-12-31 23:10:46,2008-12-31 23:24:17,N,1.0,7,223,1.0,2.07,10.0,0.0,0.5,0.0,0.0,,0.3,10.8,2.0,1.0,
2,2008-12-31 23:31:42,2008-12-31 23:36:53,N,1.0,7,7,1.0,0.44,4.0,0.0,0.5,0.0,0.0,,0.3,4.8,2.0,1.0,
2,2010-09-23 00:04:48,2010-09-23 06:38:54,N,1.0,145,260,1.0,4.22,13.5,0.0,0.5,0.0,0.0,,0.3,14.3,2.0,1.0,
2,2008-12-31 23:35:43,2008-12-31 23:45:21,N,1.0,7,179,1.0,0.73,6.5,0.0,0.5,0.0,0.0,,0.3,7.3,2.0,1.0,
2,2009-01-01 00:06:29,2009-01-01 00:44:10,N,1.0,223,223,1.0,5.06,24.5,0.0,0.5,0.0,0.0,,0.3,25.3,2.0,1.0,
2,2009-01-01 01:21:32,2009-01-01 01:33:09,N,1.0,223,138,1.0,2.79,11.5,1.0,0.5,2.66,0.0,,0.3,15.96,1.0,1.0,
2,2009-01-01 02:15:55,2009-01-01 02:31:08,N,1.0,223,7,1.0,1.6,10.5,1.0,0.5,0.0,0.0,,0.3,12.3,2.0,1.0,
2,2009-01-01 03:08:00,2009-01-01 03:12:42,N,1.0,223,223,1.0,0.62,4.5,1.0,0.5,0.0,0.0,,0.3,6.3,1.0,1.0,
2,2009-01-01 03:22:47,2009-01-01 03:33:15,N,1.0,223,223,1.0,1.48,6.5,1.0,0.5,0.0,0.0,,0.3,8.3,2.0,1.0,
2,2010-09-23 08:14:25,2010-09-23 08:42:25,N,1.0,244,138,1.0,9.57,31.5,0.0,0.5,9.69,0.0,,0.3,41.99,1.0,1.0,
2,2010-09-23 01:01:30,2010-09-23 10:07:07,N,1.0,243,42,1.0,5.09,17.0,0.0,0.5,3.56,0.0,,0.3,21.36,1.0,1.0,
2,2008-12-31 23:48:30,2009-01-01 00:19:11,N,1.0,33,85,1.0,4.84,21.5,0.5,0.5,5.7,0.0,,0.3,28.5,1.0,1.0,
2,2009-01-01 00:42:20,2009-01-01 00:46:43,N,1.0,181,97,1.0,0.78,5.0,0.5,0.5,1.26,0.0,,0.3,7.56,1.0,1.0,
2,2008-12-31 23:02:37,2008-12-31 23:02:44,N,1.0,264,264,1.0,0.0,1.0,0.0,0.5,0.0,0.0,,0.3,1.8,2.0,1.0,
2,2010-09-23 00:01:46,2010-09-23 05:59:38,N,1.0,7,260,1.0,1.72,8.0,0.5,0.5,2.32,0.0,,0.3,11.62,1.0,1.0,
2,2008-12-31 17:54:42,2008-12-31 19:30:42,N,1.0,181,181,1.0,12.59,59.5,1.0,0.5,0.0,0.0,,0.3,61.3,2.0,1.0,
2,2010-09-23 00:02:33,2010-09-23 14:48:22,N,1.0,179,7,1.0,1.52,9.0,0.0,0.5,0.0,0.0,,0.3,9.8,2.0,1.0,
2,2010-09-23 00:02:22,2010-09-23 08:33:48,N,1.0,242,242,1.0,1.12,6.0,0.0,0.5,0.0,0.0,,0.3,6.8,2.0,1.0,
2,2010-09-23 00:01:54,2010-09-23 19:25:31,N,1.0,7,145,1.0,2.85,15.0,1.0,0.5,0.0,0.0,,0.3,16.8,2.0,1.0,
2,2010-09-23 21:56:50,2010-09-23 22:14:50,N,1.0,55,257,4.0,11.79,32.5,0.5,0.5,6.76,0.0,,0.3,40.56,1.0,1.0,
2,2010-09-23 00:01:33,2010-09-23 18:38:43,N,1.0,95,95,1.0,0.96,5.5,0.0,0.5,1.89,0.0,,0.3,8.19,1.0,1.0,
2,2009-01-01 00:24:39,2009-01-01 00:26:36,N,1.0,25,181,6.0,0.49,3.5,0.5,0.5,0.0,0.0,,0.3,4.8,2.0,1.0,
2,2009-01-01 01:17:45,2009-01-01 01:24:44,N,1.0,181,190,6.0,1.15,6.5,0.5,0.5,0.0,0.0,,0.3,7.8,2.0,1.0,
2,2010-09-23 23:51:13,2010-09-24 00:02:13,N,5.0,74,127,1.0,3.89,15.0,0.0,0.0,3.82,0.0,,0.3,19.12,1.0,1.0,
